WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,"ID",CENTROID_LATITUDE,CENTROID_LONGITUDE
09-April-2022,North America,Bermuda,Devonshire,Protests,Peaceful protest,1,0,1882,Demonstrations,3888,32.3033,-64.7595
01-May-2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260,Demonstrations,3891,32.2991,-64.7896
26-June-2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260,Demonstrations,3891,32.2991,-64.7896
28-August-2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2260,Demonstrations,3891,32.2991,-64.7896
06-November-2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2260,Demonstrations,3891,32.2991,-64.7896
05-February-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
19-February-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
09-April-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
23-April-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
28-May-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
24-September-2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2269,Demonstrations,3891,32.2991,-64.7896
11-February-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268,Demonstrations,3891,32.2991,-64.7896
18-March-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268,Demonstrations,3891,32.2991,-64.7896
22-April-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268,Demonstrations,3891,32.2991,-64.7896
02-September-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2268,Demonstrations,3891,32.2991,-64.7896
07-October-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2268,Demonstrations,3891,32.2991,-64.7896
04-November-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268,Demonstrations,3891,32.2991,-64.7896
11-November-2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2268,Demonstrations,3891,32.2991,-64.7896
08-June-2024,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2266,Demonstrations,3891,32.2991,-64.7896
08-November-2025,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,,Demonstrations,3891,32.2991,-64.7896
17-January-2026,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,,Demonstrations,3891,32.2991,-64.7896
18-December-2021,North America,Bermuda,Pembroke,Strategic developments,Change to group/activity,1,0,,Strategic developments,3891,32.2991,-64.7896
26-November-2022,North America,Bermuda,Saint George,Protests,Peaceful protest,1,0,640,Demonstrations,4124,32.3675,-64.6767
16-September-2023,North America,Bermuda,Saint George,Protests,Peaceful protest,1,0,640,Demonstrations,4124,32.3675,-64.6767
19-June-2021,North America,Bermuda,Sandys,Protests,Peaceful protest,1,0,2765,Demonstrations,3892,32.2905,-64.8722
23-September-2023,North America,Bermuda,Warwick,Protests,Peaceful protest,1,0,2986,Demonstrations,3896,32.2679,-64.8053
06-September-2025,North America,Bermuda,Warwick,Protests,Peaceful protest,1,0,2980,Demonstrations,3896,32.2679,-64.8053
02-January-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6703,Demonstrations,485,54.498,-115.0035
09-January-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6370,Demonstrations,485,54.498,-115.0035
23-January-2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,8584,Demonstrations,485,54.498,-115.0035
30-January-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4736,Demonstrations,485,54.498,-115.0035
06-February-2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,7567,Demonstrations,485,54.498,-115.0035
13-February-2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,8375,Demonstrations,485,54.498,-115.0035
20-February-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4194,Demonstrations,485,54.498,-115.0035
27-February-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2115,Demonstrations,485,54.498,-115.0035
06-March-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6703,Demonstrations,485,54.498,-115.0035
13-March-2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2115,Demonstrations,485,54.498,-115.0035
20-March-2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,6451,Demonstrations,485,54.498,-115.0035
27-March-2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,5612,Demonstrations,485,54.498,-115.0035
03-April-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6286,Demonstrations,485,54.498,-115.0035
10-April-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,8965,Demonstrations,485,54.498,-115.0035
17-April-2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2115,Demonstrations,485,54.498,-115.0035
24-April-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4802,Demonstrations,485,54.498,-115.0035
01-May-2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4737,Demonstrations,485,54.498,-115.0035
08-May-2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2115,Demonstrations,485,54.498,-115.0035
15-May-2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,6703,Demonstrations,485,54.498,-115.0035
22-May-2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4736,Demonstrations,485,54.498,-115.0035
29-May-2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,6747,Demonstrations,485,54.498,-115.0035
05-June-2021,North America,Canada,Alberta,Protests,Peaceful protest,9,0,7982,Demonstrations,485,54.498,-115.0035
12-June-2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,2524,Demonstrations,485,54.498,-115.0035
19-June-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4736,Demonstrations,485,54.498,-115.0035
26-June-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6370,Demonstrations,485,54.498,-115.0035
10-July-2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4736,Demonstrations,485,54.498,-115.0035
24-July-2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,9294,Demonstrations,485,54.498,-115.0035
31-July-2021,North America,Canada,Alberta,Protests,Peaceful protest,12,0,6274,Demonstrations,485,54.498,-115.0035
07-August-2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,6703,Demonstrations,485,54.498,-115.0035
14-August-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4736,Demonstrations,485,54.498,-115.0035
21-August-2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1634,Demonstrations,485,54.498,-115.0035
28-August-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4736,Demonstrations,485,54.498,-115.0035
04-September-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2115,Demonstrations,485,54.498,-115.0035
11-September-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4736,Demonstrations,485,54.498,-115.0035
18-September-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4736,Demonstrations,485,54.498,-115.0035
25-September-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,2117,Demonstrations,485,54.498,-115.0035
02-October-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4255,Demonstrations,485,54.498,-115.0035
09-October-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4736,Demonstrations,485,54.498,-115.0035
16-October-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,5562,Demonstrations,485,54.498,-115.0035
23-October-2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,2115,Demonstrations,485,54.498,-115.0035
30-October-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6274,Demonstrations,485,54.498,-115.0035
13-November-2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6370,Demonstrations,485,54.498,-115.0035
20-November-2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,9590,Demonstrations,485,54.498,-115.0035
27-November-2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3715,Demonstrations,485,54.498,-115.0035
04-December-2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2115,Demonstrations,485,54.498,-115.0035
11-December-2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6969,Demonstrations,485,54.498,-115.0035
18-December-2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,3739,Demonstrations,485,54.498,-115.0035
01-January-2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4769,Demonstrations,485,54.498,-115.0035
08-January-2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769,Demonstrations,485,54.498,-115.0035
22-January-2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4325,Demonstrations,485,54.498,-115.0035
29-January-2022,North America,Canada,Alberta,Protests,Peaceful protest,15,0,10650,Demonstrations,485,54.498,-115.0035
05-February-2022,North America,Canada,Alberta,Protests,Peaceful protest,10,0,5577,Demonstrations,485,54.498,-115.0035
12-February-2022,North America,Canada,Alberta,Protests,Peaceful protest,9,0,6640,Demonstrations,485,54.498,-115.0035
19-February-2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4769,Demonstrations,485,54.498,-115.0035
26-February-2022,North America,Canada,Alberta,Protests,Peaceful protest,8,0,9760,Demonstrations,485,54.498,-115.0035
05-March-2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,4769,Demonstrations,485,54.498,-115.0035
12-March-2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,5602,Demonstrations,485,54.498,-115.0035
19-March-2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,2130,Demonstrations,485,54.498,-115.0035
26-March-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2130,Demonstrations,485,54.498,-115.0035
02-April-2022,North America,Canada,Alberta,Protests,Peaceful protest,12,0,16391,Demonstrations,485,54.498,-115.0035
09-April-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769,Demonstrations,485,54.498,-115.0035
16-April-2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639,Demonstrations,485,54.498,-115.0035
30-April-2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,6414,Demonstrations,485,54.498,-115.0035
07-May-2022,North America,Canada,Alberta,Protests,Peaceful protest,7,0,6654,Demonstrations,485,54.498,-115.0035
14-May-2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,10589,Demonstrations,485,54.498,-115.0035
21-May-2022,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4769,Demonstrations,485,54.498,-115.0035
28-May-2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4769,Demonstrations,485,54.498,-115.0035
04-June-2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,3232,Demonstrations,485,54.498,-115.0035
11-June-2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639,Demonstrations,485,54.498,-115.0035
18-June-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769,Demonstrations,485,54.498,-115.0035
25-June-2022,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4769,Demonstrations,485,54.498,-115.0035
02-July-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769,Demonstrations,485,54.498,-115.0035
09-July-2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2639,Demonstrations,485,54.498,-115.0035
16-July-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2639,Demonstrations,485,54.498,-115.0035
23-July-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2639,Demonstrations,485,54.498,-115.0035
30-July-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,2130,Demonstrations,485,54.498,-115.0035
06-August-2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4769,Demonstrations,485,54.498,-115.0035
